Id,sleep_day,total_sleep_records,total_minutes_asleep,total_time_in_bed
7007744171,5/1/2016 0:00,1,58,61
4319703577,4/21/2016 0:00,1,59,65
2320127002,4/23/2016 0:00,1,61,69
4388161847,5/9/2016 0:00,1,62,65
5577150313,5/5/2016 0:00,1,74,78
8053475328,5/7/2016 0:00,1,74,75
4020332650,4/16/2016 0:00,1,77,77
7007744171,4/16/2016 0:00,1,79,82
4388161847,4/22/2016 0:00,1,82,85
4445114986,4/17/2016 0:00,1,98,107
4388161847,4/18/2016 0:00,1,99,104
4558609924,4/26/2016 0:00,1,103,121
4445114986,4/29/2016 0:00,1,106,108
4558609924,5/1/2016 0:00,1,115,129
1644430081,4/29/2016 0:00,1,119,127
4558609924,5/8/2016 0:00,1,123,134
1644430081,4/30/2016 0:00,1,124,142
4558609924,4/21/2016 0:00,1,126,137
1644430081,5/8/2016 0:00,1,137,154
3977333714,4/20/2016 0:00,2,152,305
1927972279,4/28/2016 0:00,1,166,178
4558609924,4/29/2016 0:00,1,171,179
3977333714,5/4/2016 0:00,1,213,336
3977333714,4/19/2016 0:00,1,219,395
4020332650,5/5/2016 0:00,1,226,248
3977333714,5/2/2016 0:00,1,230,384
3977333714,4/23/2016 0:00,1,235,372
6775888955,4/13/2016 0:00,1,235,260
3977333714,4/30/2016 0:00,1,237,382
3977333714,5/7/2016 0:00,1,237,443
1503960366,4/26/2016 0:00,1,245,274
1503960366,5/5/2016 0:00,1,247,264
3977333714,4/26/2016 0:00,1,250,371
4702921684,4/15/2016 0:00,1,253,257
3977333714,5/8/2016 0:00,2,259,456
3977333714,4/28/2016 0:00,1,261,423
3977333714,4/25/2016 0:00,1,262,467
1503960366,5/3/2016 0:00,1,273,296
3977333714,4/12/2016 0:00,1,274,469
1503960366,4/25/2016 0:00,1,277,323
1503960366,5/2/2016 0:00,1,277,309
3977333714,4/16/2016 0:00,1,283,510
1503960366,5/11/2016 0:00,1,285,306
4319703577,4/27/2016 0:00,1,286,307
3977333714,4/14/2016 0:00,1,291,397
3977333714,5/3/2016 0:00,1,292,500
4702921684,4/18/2016 0:00,1,293,312
3977333714,4/13/2016 0:00,2,295,456
1927972279,4/26/2016 0:00,1,296,315
6962181067,5/7/2016 0:00,1,298,334
4319703577,5/12/2016 0:00,1,302,321
1503960366,4/19/2016 0:00,1,304,320
3977333714,4/24/2016 0:00,1,310,526
3977333714,5/10/2016 0:00,1,312,452
3977333714,5/5/2016 0:00,1,318,480
4388161847,4/26/2016 0:00,1,319,346
4020332650,5/3/2016 0:00,1,322,332
4445114986,4/30/2016 0:00,1,322,353
5553957443,4/22/2016 0:00,1,322,353
7086361926,5/6/2016 0:00,1,322,333
3977333714,5/6/2016 0:00,1,323,512
8378563200,5/6/2016 0:00,1,323,355
1503960366,4/21/2016 0:00,1,325,364
1503960366,4/12/2016 0:00,1,327,346
4702921684,5/3/2016 0:00,1,327,373
4445114986,4/25/2016 0:00,1,328,345
4388161847,4/19/2016 0:00,1,329,338
1503960366,5/7/2016 0:00,1,331,349
8053475328,4/23/2016 0:00,1,331,337
3977333714,4/21/2016 0:00,1,332,512
4445114986,4/27/2016 0:00,1,332,374
3977333714,4/29/2016 0:00,1,333,478
1503960366,5/6/2016 0:00,1,334,367
6117666160,4/17/2016 0:00,2,336,350
4445114986,4/15/2016 0:00,2,337,379
4445114986,5/4/2016 0:00,2,337,363
1503960366,5/9/2016 0:00,1,338,342
5577150313,4/22/2016 0:00,1,338,366
8378563200,4/12/2016 0:00,1,338,356
8792009665,4/23/2016 0:00,1,339,360
1503960366,4/16/2016 0:00,2,340,367
1503960366,4/29/2016 0:00,1,341,354
8378563200,5/10/2016 0:00,1,342,391
8792009665,4/30/2016 0:00,1,343,360
5553957443,4/27/2016 0:00,1,347,391
3977333714,4/27/2016 0:00,1,349,540
5553957443,4/17/2016 0:00,1,350,402
8378563200,5/2/2016 0:00,1,351,385
4445114986,4/26/2016 0:00,2,353,391
6117666160,4/24/2016 0:00,1,353,367
4388161847,5/10/2016 0:00,1,354,375
4702921684,5/11/2016 0:00,1,354,366
5577150313,4/26/2016 0:00,1,354,377
7086361926,4/28/2016 0:00,1,354,367
3977333714,4/22/2016 0:00,1,355,476
2026352035,5/10/2016 0:00,1,357,380
5553957443,4/14/2016 0:00,1,357,418
5553957443,4/19/2016 0:00,1,357,410
6962181067,4/16/2016 0:00,1,357,366
8378563200,5/9/2016 0:00,1,359,399
1503960366,4/20/2016 0:00,1,360,377
1503960366,4/23/2016 0:00,1,361,384
4445114986,5/8/2016 0:00,1,361,391
5577150313,4/28/2016 0:00,1,361,372
8792009665,4/15/2016 0:00,1,363,377
4020332650,5/8/2016 0:00,1,364,402
1503960366,4/28/2016 0:00,1,366,393
6962181067,4/12/2016 0:00,1,366,387
4388161847,5/2/2016 0:00,2,368,376
8378563200,5/11/2016 0:00,1,368,387
1503960366,5/1/2016 0:00,1,369,396
4445114986,4/13/2016 0:00,2,370,406
4702921684,4/25/2016 0:00,1,370,380
6962181067,4/15/2016 0:00,1,370,386
2347167796,4/23/2016 0:00,1,374,386
4445114986,5/6/2016 0:00,2,374,402
5553957443,4/15/2016 0:00,1,377,409
7086361926,4/15/2016 0:00,1,377,386
5577150313,5/1/2016 0:00,1,379,398
5553957443,5/3/2016 0:00,1,380,429
6117666160,4/16/2016 0:00,1,380,398
3977333714,4/17/2016 0:00,1,381,566
8378563200,4/20/2016 0:00,1,381,409
8378563200,5/5/2016 0:00,1,381,417
4702921684,4/16/2016 0:00,2,382,406
1503960366,5/10/2016 0:00,1,383,403
3977333714,5/1/2016 0:00,1,383,626
1503960366,4/13/2016 0:00,2,384,407
4702921684,4/14/2016 0:00,1,384,415
5577150313,4/23/2016 0:00,1,384,402
4020332650,5/6/2016 0:00,1,385,408
8378563200,4/19/2016 0:00,1,387,421
4445114986,4/19/2016 0:00,2,388,424
4445114986,4/22/2016 0:00,1,388,417
7086361926,5/1/2016 0:00,1,388,407
8378563200,4/25/2016 0:00,1,388,402
4388161847,5/4/2016 0:00,1,390,414
7086361926,4/21/2016 0:00,1,390,411
6775888955,4/15/2016 0:00,1,391,406
8792009665,4/22/2016 0:00,1,391,407
5577150313,4/15/2016 0:00,1,392,413
6117666160,5/5/2016 0:00,1,392,415
6117666160,4/28/2016 0:00,1,393,416
6962181067,5/3/2016 0:00,1,394,418
8378563200,4/21/2016 0:00,1,396,417
1927972279,4/13/2016 0:00,1,398,422
8378563200,4/18/2016 0:00,1,398,451
8792009665,4/29/2016 0:00,1,398,406
5553957443,4/21/2016 0:00,1,399,431
4702921684,4/13/2016 0:00,2,400,430
5553957443,5/6/2016 0:00,1,400,434
6962181067,4/25/2016 0:00,1,400,415
4445114986,5/7/2016 0:00,2,401,436
8792009665,4/28/2016 0:00,1,402,416
1503960366,4/30/2016 0:00,1,404,425
4702921684,5/6/2016 0:00,1,404,449
4702921684,5/12/2016 0:00,1,404,442
2347167796,4/22/2016 0:00,1,405,461
4445114986,5/10/2016 0:00,1,405,426
8378563200,5/3/2016 0:00,1,405,429
5577150313,4/16/2016 0:00,1,406,445
2347167796,4/28/2016 0:00,1,408,450
4388161847,4/30/2016 0:00,2,409,430
5553957443,5/2/2016 0:00,1,409,471
2347167796,4/29/2016 0:00,1,411,473
6962181067,5/1/2016 0:00,1,411,426
1503960366,4/15/2016 0:00,1,412,442
3977333714,4/18/2016 0:00,2,412,522
4702921684,5/4/2016 0:00,1,412,434
5553957443,4/26/2016 0:00,1,412,453
5577150313,4/30/2016 0:00,1,412,433
4702921684,5/5/2016 0:00,1,414,428
5577150313,4/21/2016 0:00,1,414,437
8792009665,5/2/2016 0:00,1,415,423
4702921684,5/10/2016 0:00,1,416,431
4445114986,5/3/2016 0:00,2,417,450
5553957443,5/10/2016 0:00,1,418,443
6962181067,4/20/2016 0:00,1,418,424
4445114986,4/28/2016 0:00,1,419,442
5553957443,5/5/2016 0:00,1,419,464
5577150313,4/12/2016 0:00,1,419,438
7086361926,5/4/2016 0:00,1,420,436
4388161847,4/20/2016 0:00,1,421,451
4702921684,4/26/2016 0:00,1,421,429
5553957443,4/28/2016 0:00,1,421,457
5577150313,4/25/2016 0:00,1,421,461
6962181067,4/30/2016 0:00,1,422,424
6775888955,4/14/2016 0:00,1,423,441
8792009665,4/27/2016 0:00,1,423,428
3977333714,4/15/2016 0:00,1,424,556
5577150313,4/27/2016 0:00,1,424,452
8378563200,4/14/2016 0:00,1,424,455
4702921684,4/12/2016 0:00,1,425,439
4702921684,4/21/2016 0:00,1,425,434
6962181067,4/22/2016 0:00,1,425,435
4388161847,4/16/2016 0:00,2,426,448
6962181067,4/17/2016 0:00,1,427,446
7086361926,5/9/2016 0:00,1,427,438
4388161847,4/28/2016 0:00,1,428,458
7086361926,4/22/2016 0:00,1,428,448
4445114986,4/12/2016 0:00,2,429,457
1503960366,4/24/2016 0:00,1,430,449
5577150313,5/11/2016 0:00,1,431,476
4702921684,4/27/2016 0:00,1,432,449
5577150313,4/13/2016 0:00,1,432,458
2347167796,4/25/2016 0:00,1,433,471
4702921684,4/29/2016 0:00,1,433,447
5553957443,4/25/2016 0:00,1,433,468
6962181067,4/29/2016 0:00,1,433,447
4702921684,5/9/2016 0:00,1,435,458
2347167796,4/26/2016 0:00,1,436,490
4445114986,4/21/2016 0:00,1,436,469
2026352035,4/17/2016 0:00,1,437,498
5553957443,5/12/2016 0:00,1,438,475
4388161847,4/27/2016 0:00,1,439,500
4445114986,4/20/2016 0:00,1,439,462
4445114986,5/1/2016 0:00,2,439,459
8792009665,5/4/2016 0:00,1,439,463
6962181067,4/28/2016 0:00,1,440,453
7086361926,5/2/2016 0:00,1,440,459
4445114986,4/14/2016 0:00,1,441,492
5553957443,4/12/2016 0:00,1,441,464
6962181067,4/26/2016 0:00,1,441,446
8378563200,4/22/2016 0:00,1,441,469
8378563200,5/4/2016 0:00,1,441,477
2347167796,4/24/2016 0:00,1,442,459
4020332650,5/10/2016 0:00,1,442,494
4388161847,4/21/2016 0:00,1,442,458
4702921684,4/28/2016 0:00,1,442,461
5553957443,5/7/2016 0:00,1,442,470
6962181067,4/18/2016 0:00,1,442,458
6962181067,5/4/2016 0:00,1,442,455
6962181067,5/6/2016 0:00,1,443,462
7086361926,5/12/2016 0:00,1,444,457
2347167796,4/14/2016 0:00,1,445,489
7086361926,4/25/2016 0:00,1,446,447
5553957443,5/4/2016 0:00,1,447,470
5577150313,4/20/2016 0:00,1,447,480
8378563200,4/13/2016 0:00,2,447,487
2347167796,4/27/2016 0:00,1,448,499
5577150313,4/19/2016 0:00,1,449,465
4319703577,5/6/2016 0:00,1,450,491
5553957443,4/29/2016 0:00,1,450,495
6962181067,4/21/2016 0:00,1,451,457
7086361926,4/13/2016 0:00,1,451,465
7086361926,5/11/2016 0:00,1,451,463
2347167796,4/15/2016 0:00,1,452,504
6962181067,5/11/2016 0:00,1,452,480
5553957443,5/9/2016 0:00,1,453,494
4702921684,4/20/2016 0:00,1,454,468
5553957443,4/13/2016 0:00,2,455,488
6962181067,4/27/2016 0:00,1,455,467
2026352035,5/12/2016 0:00,1,456,485
7086361926,5/3/2016 0:00,1,456,461
4445114986,5/9/2016 0:00,1,457,533
4702921684,4/19/2016 0:00,1,457,487
8378563200,4/24/2016 0:00,1,458,492
8792009665,4/12/2016 0:00,1,458,493
5577150313,4/29/2016 0:00,1,459,485
8378563200,5/7/2016 0:00,2,459,513
2347167796,4/21/2016 0:00,1,460,484
2026352035,4/20/2016 0:00,1,461,510
4319703577,4/19/2016 0:00,2,461,498
4445114986,4/16/2016 0:00,1,462,499
4445114986,5/5/2016 0:00,2,462,513
5553957443,5/11/2016 0:00,1,463,486
2347167796,4/19/2016 0:00,1,465,514
4319703577,4/15/2016 0:00,1,465,491
4702921684,4/23/2016 0:00,1,465,475
6117666160,4/19/2016 0:00,1,465,492
6962181067,5/2/2016 0:00,1,466,482
2347167796,4/13/2016 0:00,1,467,531
4319703577,4/24/2016 0:00,1,467,501
6962181067,5/5/2016 0:00,1,467,491
2026352035,5/5/2016 0:00,1,468,485
8378563200,4/30/2016 0:00,1,468,555
4388161847,5/11/2016 0:00,1,469,494
6962181067,5/10/2016 0:00,1,469,481
7086361926,4/27/2016 0:00,1,469,479
4388161847,5/5/2016 0:00,1,471,495
4388161847,5/7/2016 0:00,1,472,496
7086361926,4/14/2016 0:00,1,472,476
7086361926,4/19/2016 0:00,1,472,483
4319703577,5/3/2016 0:00,1,474,512
6117666160,4/20/2016 0:00,1,474,502
1927972279,4/15/2016 0:00,2,475,499
8378563200,5/1/2016 0:00,1,475,539
6962181067,4/19/2016 0:00,1,476,535
2026352035,4/21/2016 0:00,1,477,514
5577150313,4/14/2016 0:00,1,477,497
4020332650,5/4/2016 0:00,1,478,536
4319703577,5/2/2016 0:00,1,478,506
4388161847,4/23/2016 0:00,1,478,501
4702921684,4/30/2016 0:00,1,479,501
4702921684,4/24/2016 0:00,1,480,506
6117666160,4/22/2016 0:00,1,480,546
7086361926,5/8/2016 0:00,1,481,510
4445114986,5/12/2016 0:00,1,483,501
4319703577,5/1/2016 0:00,1,484,500
7086361926,4/26/2016 0:00,1,485,500
7086361926,4/30/2016 0:00,1,485,489
8053475328,4/20/2016 0:00,1,486,493
8792009665,4/14/2016 0:00,1,486,503
4319703577,5/10/2016 0:00,1,487,517
4319703577,4/25/2016 0:00,1,488,506
6962181067,5/9/2016 0:00,1,489,497
2026352035,4/29/2016 0:00,1,490,510
4319703577,4/30/2016 0:00,1,490,516
6117666160,4/23/2016 0:00,1,492,539
6117666160,5/9/2016 0:00,1,492,522
7086361926,4/20/2016 0:00,1,492,502
6117666160,4/18/2016 0:00,2,493,510
8378563200,5/12/2016 0:00,1,496,546
4319703577,4/28/2016 0:00,1,497,522
2026352035,4/19/2016 0:00,1,498,540
6117666160,5/7/2016 0:00,2,498,507
4388161847,4/15/2016 0:00,1,499,526
4445114986,5/11/2016 0:00,1,499,530
2347167796,4/18/2016 0:00,1,500,557
4020332650,4/12/2016 0:00,1,501,541
4445114986,5/2/2016 0:00,1,502,542
2026352035,4/12/2016 0:00,1,503,546
8792009665,5/1/2016 0:00,1,503,527
5577150313,5/10/2016 0:00,1,504,562
4319703577,4/26/2016 0:00,1,505,516
2026352035,4/25/2016 0:00,1,506,531
4319703577,4/16/2016 0:00,1,506,522
8378563200,4/28/2016 0:00,1,506,556
4319703577,5/7/2016 0:00,1,507,530
6117666160,5/1/2016 0:00,1,507,575
2026352035,4/27/2016 0:00,1,508,545
5577150313,5/3/2016 0:00,1,508,543
6117666160,4/21/2016 0:00,1,508,550
6962181067,4/14/2016 0:00,2,508,535
2026352035,5/2/2016 0:00,1,511,543
2026352035,5/7/2016 0:00,1,511,521
6962181067,4/24/2016 0:00,1,511,514
2026352035,4/28/2016 0:00,1,513,545
8378563200,4/15/2016 0:00,1,513,533
7086361926,4/12/2016 0:00,1,514,525
4319703577,4/18/2016 0:00,1,515,551
6962181067,5/12/2016 0:00,1,516,535
8792009665,5/3/2016 0:00,1,516,545
2026352035,4/22/2016 0:00,1,520,545
4702921684,5/7/2016 0:00,1,520,543
5553957443,4/18/2016 0:00,2,520,541
2026352035,4/23/2016 0:00,1,522,554
2026352035,4/15/2016 0:00,1,523,573
2026352035,5/11/2016 0:00,1,523,553
4319703577,4/20/2016 0:00,1,523,543
4319703577,4/29/2016 0:00,1,523,546
2026352035,4/16/2016 0:00,1,524,567
2026352035,5/6/2016 0:00,1,524,548
5577150313,5/2/2016 0:00,2,525,553
8378563200,4/17/2016 0:00,2,525,591
2026352035,5/1/2016 0:00,1,527,546
5577150313,4/18/2016 0:00,1,527,553
8378563200,4/29/2016 0:00,1,527,562
6962181067,4/23/2016 0:00,1,528,546
8792009665,4/20/2016 0:00,1,528,547
4319703577,5/11/2016 0:00,1,529,558
4388161847,5/8/2016 0:00,2,529,541
7086361926,5/7/2016 0:00,1,530,548
2026352035,4/13/2016 0:00,1,531,565
2026352035,5/9/2016 0:00,1,531,556
8378563200,4/27/2016 0:00,1,531,600
8792009665,4/13/2016 0:00,1,531,552
4319703577,4/22/2016 0:00,1,533,550
4319703577,4/14/2016 0:00,1,535,557
4319703577,5/9/2016 0:00,1,535,565
2026352035,5/4/2016 0:00,1,538,560
2026352035,5/8/2016 0:00,1,541,568
6962181067,5/8/2016 0:00,1,541,569
6117666160,4/27/2016 0:00,1,542,557
5577150313,4/24/2016 0:00,1,543,615
2026352035,4/14/2016 0:00,1,545,568
8378563200,5/8/2016 0:00,1,545,606
4388161847,5/1/2016 0:00,1,547,597
5577150313,4/17/2016 0:00,1,549,583
8378563200,4/26/2016 0:00,1,550,584
4388161847,4/24/2016 0:00,3,552,595
5553957443,4/24/2016 0:00,2,553,640
2026352035,4/24/2016 0:00,1,555,591
6117666160,5/8/2016 0:00,1,555,603
2347167796,4/17/2016 0:00,1,556,602
8378563200,4/23/2016 0:00,1,565,591
5553957443,5/8/2016 0:00,1,568,608
2026352035,4/30/2016 0:00,1,573,607
1844505072,5/1/2016 0:00,1,590,961
4702921684,4/17/2016 0:00,1,591,612
1503960366,5/8/2016 0:00,1,594,611
6117666160,4/29/2016 0:00,1,600,636
4319703577,5/8/2016 0:00,1,602,638
5577150313,5/4/2016 0:00,1,603,634
8378563200,4/16/2016 0:00,2,611,689
4388161847,4/17/2016 0:00,2,619,641
5553957443,5/1/2016 0:00,2,622,686
6962181067,4/13/2016 0:00,3,630,679
5553957443,4/23/2016 0:00,2,631,725
1844505072,4/15/2016 0:00,1,644,961
5553957443,4/16/2016 0:00,2,651,686
5553957443,4/20/2016 0:00,1,658,678
6117666160,5/6/2016 0:00,2,658,698
7086361926,4/24/2016 0:00,1,681,704
4319703577,4/23/2016 0:00,1,692,722
1503960366,4/17/2016 0:00,1,700,712
1844505072,4/30/2016 0:00,1,722,961
1927972279,4/12/2016 0:00,3,750,775
5553957443,4/30/2016 0:00,2,775,843
1644430081,5/2/2016 0:00,1,796,961
